City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
4,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
7,Atuona,PF,78.94,light rain,-9.8,-139.0333,Villa Enata
13,Maroantsetra,MG,75.58,light rain,-15.4333,49.7333,Annexe Vatsy Hôtel
15,Alofi,NU,81.19,broken clouds,-19.0595,-169.9187,Taloa Heights
18,Labuhan,ID,79.61,overcast clouds,-6.8844,112.2051,DoubleFAG
20,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
21,Saint George,US,77.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
26,Rikitea,PF,77.52,light rain,-23.1203,-134.9692,People ThankYou
38,Hilo,US,84.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
44,Bengkulu,ID,76.78,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
45,Mucurapo,TT,78.03,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
55,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
60,Maragogi,BR,79.81,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
66,Ormara,PK,79.21,scattered clouds,25.2088,64.6357,Kenara Colony house for Rent
81,Port Augusta,AU,78.3,clear sky,-32.5,137.7667,Majestic Oasis Apartments
84,Pandan,PH,81.5,few clouds,14.0453,124.1694,Bonifacio Lodge
89,San Policarpo,PH,81.64,broken clouds,12.1791,125.5072,Agapita M. Nicart
90,Inirida,CO,75.61,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
93,Puerto Ayora,EC,76.75,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
95,Noumea,NC,82.38,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
96,Grand Gaube,MU,76.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
97,Bandarbeyla,SO,82.76,broken clouds,9.4942,50.8122,JABIR HOTEL
98,Lakatoro,VU,84.78,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
101,Roebourne,AU,86.81,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
105,Kukshi,IN,79.43,clear sky,22.2,74.75,City Pride Hotel
107,Butaritari,KI,81.43,light rain,3.0707,172.7902,Isles Sunset Lodge
108,Manokwari,ID,82.98,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
111,Bogo,PH,82.17,broken clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
115,Celestun,MX,80.71,few clouds,20.8667,-90.4,Posada Lilia
122,Yulara,AU,84.04,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
123,Kathu,TH,86.76,broken clouds,7.9178,98.3332,Novotel Phuket Resort
125,Sison,PH,82.56,broken clouds,16.1739,120.5153,RV's Star Resort and Lodge
127,Manaure,CO,81.7,broken clouds,11.7751,-72.4445,Hotel Palaaima
128,Yeppoon,AU,76.78,clear sky,-23.1333,150.7333,Villa Mar Colina
129,Pontianak,ID,76.98,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
133,Hithadhoo,MV,82.47,broken clouds,-0.6,73.0833,Scoop Guest House
141,Rock Sound,BS,75.78,moderate rain,24.9,-76.2,Pink Corral Bay Property
143,La Romana,DO,76.44,clear sky,18.4273,-68.9728,Casa de Campo Resort and Villas
144,Sabang,ID,83.03,overcast clouds,5.8933,95.3214,Hotel Citra
145,Ambulu,ID,78.21,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
146,Pedernales,DO,79.95,few clouds,18.0384,-71.744,Hotel Costa Marina
153,Saint-Pierre,RE,76.91,clear sky,-21.3393,55.4781,Lindsey Hôtel
155,Cabo San Lucas,MX,84.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
156,Kavieng,PG,84.27,broken clouds,-2.5744,150.7967,Nusa Island Retreat
160,Guymon,US,75.2,clear sky,36.6828,-101.4816,Simple Rewards
163,Papetoai,PF,85.59,clear sky,-17.4961,-149.8729,Fare Vaihere
166,Jalu,LY,77.11,broken clouds,29.0331,21.5482,صاحبة الفخامة
167,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
168,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
173,Sonepur,IN,85.86,overcast clouds,20.8333,83.9167,Hotel Progress INN
178,Sur,OM,89.1,clear sky,22.5667,59.5289,Sur Plaza Hotel
182,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
192,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
196,Inhambane,MZ,77.76,overcast clouds,-23.865,35.3833,Oceano
200,Faanui,PF,82.35,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
208,Lorengau,PG,85.12,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
216,Antsohihy,MG,77.65,clear sky,-14.8796,47.9875,Hotel de Ville
218,Usmajac,MX,86.86,overcast clouds,19.8667,-103.5667,Gran Casa Sayula Hotel Galeria And Spa
225,Itarema,BR,78.42,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
233,Tautira,PF,80.85,few clouds,-17.7333,-149.15,Pension Oaoa
235,Qui Nhon,VN,78.82,few clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
236,Dosso,NE,83.98,overcast clouds,13.049,3.1937,Hotel Toubal
237,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
239,Puerto Escondido,MX,85.03,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
242,Santa Rosa,PH,84.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
250,Kantunilkin,MX,82.67,clear sky,21.0917,-87.45,Posada Paraiso
252,Quelimane,MZ,75.97,clear sky,-17.8786,36.8883,Hotel Flamingo
256,Dera Ghazi Khan,PK,80.46,clear sky,30.0561,70.6348,Hamlani Khosa Chowk
260,Salalah,OM,78.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
263,Mersing,MY,77.83,overcast clouds,2.4312,103.8405,Timotel Hotel
272,Phibun Mangsahan,TH,80.8,broken clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
274,Thanh Hoa,VN,77.95,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
275,Mareeba,AU,77.49,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
276,Honiara,SB,82.54,overcast clouds,-9.4333,159.95,Heritage Park Hotel
281,Mudbidri,IN,78.42,scattered clouds,13.0833,74.9833,Hotel Navami Comforts
284,Kirakira,SB,84.85,broken clouds,-10.4544,161.9205,SanBiz Lodge
286,Quatre Cocos,MU,76.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
292,Souillac,MU,75.74,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
293,Kalmunai,LK,78.8,few clouds,7.4167,81.8167,VS Villa
297,Pemangkat,ID,79.32,broken clouds,1.1667,108.9667,Ramah Kost KITA
300,Tayoltita,MX,83.01,overcast clouds,24.0833,-105.9333,Hotel Rivera Tayoltita
309,Kyaikkami,MM,82.83,few clouds,16.08,97.5675,St. joseph catholic church
313,Bodden Town,KY,82.4,few clouds,19.2833,-81.25,Will T Place
314,Bima,ID,81.5,broken clouds,-8.4667,118.7167,Lambitu Hotel
315,Port Blair,IN,80.82,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
320,Atar,MR,76.59,clear sky,20.5169,-13.0499,Oumou Elghoura
323,Thatta,PK,78.3,clear sky,24.7475,67.9235,We Care Guest House & Shadi lawn
324,Lahaina,US,82.4,broken clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
326,Lucea,JM,80.46,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
328,Cabinda,AO,77.34,overcast clouds,-5.55,12.2,Hotel Maiombe
329,San Pedro Pinula,GT,79.52,broken clouds,14.6667,-89.85,Hospedaje Valery
333,Acajutla,SV,84.4,overcast clouds,13.5928,-89.8275,Laureles
335,Hobyo,SO,81.52,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
336,Maracanau,BR,82.74,broken clouds,-3.8767,-38.6256,Paiva de Sousa Motel
340,Kampot,KH,78.85,broken clouds,10.6167,104.1833,Two Moons Hotel
342,Saint-Georges,GD,78.87,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
343,Vaitape,PF,82.35,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
349,La Palma,US,77.92,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
358,Kollegal,IN,75.31,broken clouds,12.15,77.1167,MK Restaurant
361,Tupelo,US,75.49,few clouds,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
363,Port Hedland,AU,89.65,few clouds,-20.3167,118.5667,The Esplanade Hotel
366,Am Timan,TD,88.3,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
376,Gigmoto,PH,81.93,scattered clouds,13.7796,124.39,Cj's Travellers Inn
377,Mananara,MG,75.11,moderate rain,-16.1667,49.7667,Chez Roger
387,Lazaro Cardenas,MX,80.6,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
394,Mahebourg,MU,76.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
397,Dicabisagan,PH,78.03,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
398,San Patricio,US,81.32,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
399,Riyadh,SA,78.94,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
410,Kuching,MY,75.42,few clouds,1.55,110.3333,Hilton Kuching
411,Hambantota,LK,80.28,few clouds,6.1241,81.1185,Bungalow 63
413,Kieta,PG,83.07,light rain,-6.2167,155.6333,Uruna Bay Retreat
414,Dutse,NG,83.68,overcast clouds,11.7594,9.3392,Central Mosque Galamawa
417,Kant,IN,78.89,clear sky,27.8,79.8,Haseeb Khan shatreng
419,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
427,Manadhoo,MV,84.27,broken clouds,5.7667,73.3833,Bon Abri maldives
435,Mansa,IN,75.0,clear sky,29.9833,75.3833,STARiHOTEL Mansa
436,El Tarra,CO,77.2,overcast clouds,8.5756,-73.0949,Casa juvenil Sor Amanda Bedoya
437,Mackay,AU,82.69,clear sky,-21.15,149.2,International Lodge Motel
439,Itaueira,BR,80.76,overcast clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
447,Tarut,SA,80.8,overcast clouds,26.5733,50.0369,سطحة لسحب ونقل السيارات
453,Buchanan,LR,79.72,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
455,Oranjestad,AW,78.69,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
457,Cockburn Town,TC,77.5,clear sky,21.4612,-71.1419,Osprey Beach Hotel
458,Sinnamary,GF,77.85,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
462,Jawhar,SO,77.88,broken clouds,2.7809,45.5005,hantiwadaag village part one
466,Arlit,NE,82.31,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
470,Doha,QA,89.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
472,Durant,US,78.96,clear sky,33.994,-96.3708,"Holiday Inn Express & Suites Durant, an IHG Hotel"
473,Kualakapuas,ID,75.38,light rain,-3.0091,114.3876,Guest House Izonk
474,Bilma,NE,86.52,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
476,Teseney,ER,87.85,broken clouds,15.11,36.6575,Sabrin Hotel
479,Sulangan,PH,82.2,broken clouds,11.1373,123.7228,Maia's Beach Resort
482,Luanda,AO,76.95,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
485,Santa Marta,CO,84.88,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
487,Hoa Binh,VN,78.22,overcast clouds,20.8133,105.3383,Hoa Dao Hotel
488,Ewa Beach,US,84.15,broken clouds,21.3156,-158.0072,Base Lodging
490,Bosaso,SO,82.8,clear sky,11.2842,49.1816,Red Sea Hotel
495,Charters Towers,AU,78.31,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
501,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
504,Angoche,MZ,79.09,clear sky,-16.2325,39.9086,Guest House HESADA
505,Meulaboh,ID,77.05,broken clouds,4.1363,96.1285,Kost Pria
512,Mtwara,TZ,76.23,broken clouds,-10.2667,40.1833,TIL Hotels Mtwara
513,Alyangula,AU,80.83,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
514,Road Town,VG,78.84,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
515,Isangel,VU,87.91,scattered clouds,-19.55,169.2667,Tanna Lodge
516,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
521,Tumkur,IN,75.06,broken clouds,13.3422,77.1017,Vaishali Comforts
523,Ahuimanu,US,83.91,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
526,Cayenne,GF,80.1,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
528,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
529,Panama City,PA,84.15,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
530,Lufkin,US,78.71,overcast clouds,31.3382,-94.7291,Courtyard by Marriott Lufkin
533,Robertsport,LR,79.66,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
535,Jucurutu,BR,78.82,moderate rain,-6.0339,-37.0203,Pousada Miike
536,Gizo,SB,83.53,light rain,-8.103,156.8419,Imagination Island
538,Yenagoa,NG,78.21,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
