City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,84.25,74,15,8.05,few clouds
1,Ushuaia,AR,-54.8,-68.3,42.31,98,90,6.29,moderate rain
2,Naryan-Mar,RU,67.6713,53.087,5.54,97,81,6.13,broken clouds
3,Mataura,NZ,-46.1927,168.8643,56.48,54,57,13.4,broken clouds
4,Kloulklubed,PW,7.0419,134.2556,82.9,76,66,6.44,broken clouds
5,Ketchikan,US,55.3422,-131.6461,50.47,25,0,10.36,clear sky
6,Deputatskiy,RU,69.3,139.9,9.09,73,100,2.39,overcast clouds
7,Atuona,PF,-9.8,-139.0333,78.94,78,20,16.02,light rain
8,Santiago,CL,-33.4569,-70.6483,63.18,62,0,8.05,clear sky
9,Kasane,BW,-17.8167,25.15,70.09,71,66,3.24,broken clouds
10,Jamestown,US,42.097,-79.2353,53.24,43,100,8.05,overcast clouds
11,Kaitangata,NZ,-46.2817,169.8464,56.75,51,57,19.84,broken clouds
12,Sefton,NZ,-43.25,172.6667,72.45,48,100,7.0,overcast clouds
13,Maroantsetra,MG,-15.4333,49.7333,75.58,90,74,1.54,light rain
14,Hobart,AU,-42.8794,147.3294,60.03,66,75,4.61,broken clouds
15,Alofi,NU,-19.0595,-169.9187,81.19,74,51,5.73,broken clouds
16,Longyearbyen,SJ,78.2186,15.6401,30.04,86,100,3.44,light snow
17,Mujiayingzi,CN,42.1167,118.7833,48.88,16,0,13.56,clear sky
18,Labuhan,ID,-6.8844,112.2051,79.61,82,85,4.63,overcast clouds
19,Airai,TL,-8.9266,125.4092,68.54,73,96,1.36,overcast clouds
20,Kahului,US,20.8947,-156.47,82.42,70,40,25.32,scattered clouds
21,Saint George,US,37.1041,-113.5841,77.63,16,0,9.22,clear sky
22,Albany,US,42.6001,-73.9662,60.87,36,56,1.01,broken clouds
23,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,94,0,13.8,clear sky
24,Cape Town,ZA,-33.9258,18.4232,59.11,68,0,16.11,clear sky
25,Punta Arenas,CL,-53.15,-70.9167,46.11,75,68,13.02,light rain
26,Rikitea,PF,-23.1203,-134.9692,77.52,71,1,14.29,light rain
27,Shingu,JP,33.7333,135.9833,57.96,49,48,5.97,scattered clouds
28,Barrow,US,71.2906,-156.7887,6.82,72,0,28.77,clear sky
29,Norman Wells,CA,65.282,-126.8329,13.33,73,100,6.49,overcast clouds
30,Severo-Yeniseyskiy,RU,60.3725,93.0408,32.92,98,100,3.0,overcast clouds
31,Port Alfred,ZA,-33.5906,26.891,60.35,69,98,6.6,light rain
32,Xichang,CN,27.8964,102.2634,53.15,81,94,3.67,overcast clouds
33,Cidreira,BR,-30.1811,-50.2056,64.89,64,57,6.96,broken clouds
34,Krasnogorskiy,RU,54.6025,61.231,45.64,75,31,17.72,scattered clouds
35,Nikolskoye,RU,59.7035,30.7861,37.87,87,97,11.52,overcast clouds
36,Hermanus,ZA,-34.4187,19.2345,54.81,67,68,15.93,broken clouds
37,Southbridge,US,42.0751,-72.0334,59.11,41,14,8.01,few clouds
38,Hilo,US,19.7297,-155.09,84.27,91,100,6.91,moderate rain
39,Comodoro Rivadavia,AR,-45.8667,-67.5,62.71,49,13,26.51,few clouds
40,Kamenka,RU,51.3223,42.7678,44.17,73,85,6.22,overcast clouds
41,Ahipara,NZ,-35.1667,173.1667,69.17,56,99,3.02,overcast clouds
42,Merauke,ID,-8.4667,140.3333,80.89,84,100,12.91,overcast clouds
43,Dandong,CN,40.1292,124.3947,54.28,21,0,1.97,clear sky
44,Bengkulu,ID,-3.8004,102.2655,76.78,87,100,3.06,light rain
45,Mucurapo,TT,10.6667,-61.5333,78.03,87,100,11.61,overcast clouds
46,Mangai,CD,-4.05,19.5333,71.11,97,100,1.48,overcast clouds
47,Byron Bay,AU,-28.65,153.6167,70.95,74,83,8.68,broken clouds
